Voltage,Timestamp,MA_1000,MA_5000
83,2024-06-26 11:49:49,,
79,2024-06-26 12:01:22,,
62,2024-06-26 12:55:48,,
85,2024-06-27 00:33:37,65.266,
77,2024-06-27 03:54:40,78.602,
62,2024-06-27 05:04:45,80.973,
43,2024-06-27 06:20:57,69.631,
39,2024-06-27 06:55:03,63.044,
93,2024-06-27 15:26:26,68.019,
87,2024-06-27 15:52:50,69.519,
74,2024-06-27 20:38:54,77.359,
89,2024-06-28 11:30:47,70.32,64.2324
59,2024-06-28 14:04:12,85.292,67.1744
57,2024-06-28 14:13:17,83.79,67.3182
64,2024-06-28 16:34:47,74.397,68.873
49,2024-06-28 17:29:11,68.22,69.5408
48,2024-06-28 17:34:08,67.459,69.4942
43,2024-06-28 17:58:54,63.7,68.9744
37,2024-06-28 18:36:50,57.362,67.2874
82,2024-06-29 05:25:30,65.978,65.6404
57,2024-06-29 06:47:13,62.789,65.0358
67,2024-06-29 17:07:55,86.065,69.2458
48,2024-06-29 22:02:01,60.105,66.1022
89,2024-06-30 06:06:26,64.59,69.0236
60,2024-06-30 12:02:43,71.995,66.7604
49,2024-06-30 12:28:17,68.918,66.6764
34,2024-06-30 13:19:58,60.544,66.4918
83,2024-06-30 22:30:21,78.129,70.1698
68,2024-06-30 23:42:07,85.22,69.5358
80,2024-07-01 01:29:49,86.062,68.7994
66,2024-07-01 02:52:50,79.609,67.9624
48,2024-07-01 04:23:02,68.249,66.408
90,2024-07-02 00:19:04,53.584,66.8738
62,2024-07-02 02:25:49,63.53,68.0664
76,2024-07-02 04:09:37,67.26,68.8266
64,2024-07-02 05:05:42,72.271,69.9446
41,2024-07-02 06:51:01,65.463,68.9736
94,2024-07-02 15:08:58,65.04,67.458
82,2024-07-02 16:22:54,69.944,67.7294
81,2024-07-02 16:27:04,70.277,67.7526
71,2024-07-02 17:11:02,73.649,68.0178
52,2024-07-02 22:09:52,68.248,68.863
49,2024-07-02 22:16:59,67.426,68.6128
37,2024-07-02 23:03:30,61.206,66.629
35,2024-07-02 23:18:22,59.456,66.0226
30,2024-07-03 00:09:26,55.429,64.4964
